year,日本,南韓,中國大陸,港澳,泰國,馬來西亞,新加坡,菲律賓,印尼,美國,加拿大,澳大利亞,法國,德國,義大利,荷蘭,英國
1986,694067,34743,-,253730,30872,59835,57221,29415,28934,194971,18904,17854,11741,19401,5881,7260,16783
1987,796651,44805,-,240393,27631,64479,56526,35818,26204,217954,20456,18174,14649,22873,7948,8136,19880
1988,911599,91610,-,223389,24029,85688,61495,38283,26401,216507,20394,18542,15145,24721,8892,8412,22313
1989,964631,138494,-,211804,21738,63017,59833,31173,26395,220594,20336,19811,15825,25002,8851,8528,22534
1990,917208,150510,-,193544,21978,49439,59484,33665,25848,224915,19918,18789,15780,24320,8818,7908,23089
1991,833624,160861,-,181765,25124,40921,62938,32646,23079,240375,21342,19020,16701,25798,9394,8132,21521
1992,799879,157786,-,193523,34297,46783,64532,35472,22431,259145,22898,21264,17650,28969,10254,8234,22746
1993,703644,96088,-,213953,90029,51265,60796,60527,34502,269110,22802,21936,18661,28644,9925,8922,24264
1994,823882,130039,-,241775,115553,48216,70271,76113,39331,286713,25072,23603,21519,31334,11966,9189,27119
1995,914325,146012,-,246747,147410,54112,70564,96336,46486,290138,27496,26462,21766,32944,12271,9968,28947
1996,917890,126915,-,262585,120764,55730,78419,111782,50925,289900,30850,27178,21850,33914,11549,10479,30570
1997,905527,99236,-,259664,122114,54401,81831,119665,54570,303634,32824,28986,22765,34660,12288,10846,32892
1998,826632,63099,-,279905,128541,49291,87022,126282,47967,308407,34201,29028,23595,35343,11743,11222,33628
1999,826222,76142,-,319814,137972,52678,85844,123000,76919,317801,35259,29964,23562,34190,11363,14249,33229
2000,916301,83729,-,361308,133185,58017,94897,84088,107332,359533,38399,31842,23720,34829,12073,12603,35519
2001,976750,85744,211050,435164,118453,57615,98771,74028,89921,348808,43187,31187,21250,33906,10656,11067,33769
2002,998497,83624,233283,456554,110650,66304,111024,79261,87728,377470,49119,33752,20813,33979,10732,10380,34492
2003,657053,92893,212863,323178,98390,67014,78739,80026,38078,272858,34369,26612,15340,28577,7695,8061,28458
2004,887311,148095,220248,417087,103089,92760,116885,87005,44161,382822,50518,41981,21354,37242,10343,11225,37146
2005,1124334,182517,211253,432718,93568,107549,166179,92074,88464,390929,54464,46394,21967,39821,10955,12117,35950
2006,1161489,196260,299821,431884,95643,115202,184160,79993,90870,394802,53821,42549,22622,38764,10765,11490,36007
2007,1166380,225814,306776,491437,90069,141308,204494,85030,95572,397965,57179,51762,23917,39529,11440,12445,39968
2008,1086691,252266,329204,618667,84586,155783,205449,87936,110420,387197,60236,58199,24164,40309,12752,12126,48391
2009,1000661,167641,972123,718806,78405,166987,194523,77206,106612,369258,60138,57147,25245,39533,12237,11230,44815
2010,1080153,216901,1630735,794362,92949,285734,241334,87944,123834,395729,64739,62254,26455,42446,12246,13158,44430
2011,1294758,242902,1784185,817944,102902,307898,299599,101539,156281,412617,67545,60067,29082,44644,12407,14401,43419
2012,1432315,259089,2586428,1016356,97712,341032,327253,105130,163598,411416,70614,63597,31452,45054,12932,15797,42776
2013,1421550,351301,2874702,1183341,104138,394326,364733,99698,171299,414060,72693,65777,32384,46533,13663,16443,42438
2014,1634790,527684,3987152,1375770,104812,439240,376235,136978,182704,458691,88601,78674,36379,52507,14895,18498,58201
