表14 青年勞工,,,,,,初次尋職時間,,,,
 中華民國 ,,,,,, 103年 10月 ,,,, 單位：人，％，月 
項目別,樣本數,合計,1個月內(含),1~3個月(含),,3~6個月(含),6~9個月(含),9~12個月(含),1年以上,平均尋職時間
,,,,,,,,,,
總計," 4,034 ", 100.00 , 30.38 , 46.49 ,, 13.69 , 4.96 , 0.91 , 3.57 , 2.09 
性別,,,,,,,,,,
男," 1,688 ", 100.00 , 27.59 , 46.39 ,, 14.70 , 5.31 , 1.16 , 4.84 , 2.34 
女," 2,346 ", 100.00 , 32.97 , 46.57 ,, 12.75 , 4.64 , 0.68 , 2.40 , 1.86 
年齡,,,,,,,,,,
15~19歲, 121 , 100.00 , 31.97 , 48.80 ,, 13.84 , 2.62 , 0.25 , 2.52 , 1.67 
20~24歲," 1,007 ", 100.00 , 34.03 , 48.67 ,, 11.53 , 2.35 , 1.12 , 2.30 , 1.69 
25~29歲," 2,906 ", 100.00 , 28.28 , 45.06 ,, 14.79 , 6.61 , 0.89 , 4.36 , 2.35 
教育程度,,,,,,,,,,
國中及以下, 129 , 100.00 , 29.57 , 37.80 ,, 19.66 , 6.08 , 0.41 , 6.49 , 2.69 
高中（職）, 941 , 100.00 , 31.09 , 48.92 ,, 13.54 , 3.66 , 0.33 , 2.47 , 1.80 
專科, 203 , 100.00 , 29.78 , 49.41 ,, 14.88 , 4.44 , 0.75 , 0.75 , 1.55 
大學," 2,448 ", 100.00 , 30.02 , 45.90 ,, 13.26 , 5.60 , 1.25 , 3.98 , 2.21 
碩士及以上, 313 , 100.00 , 31.34 , 45.45 ,, 12.88 , 4.72 , 0.99 , 4.63 , 2.24 
專科以上科系,,,,,,,,,,
人文, 502 , 100.00 , 32.74 , 44.93 ,, 11.78 , 6.30 , 1.84 , 2.41 , 1.99 
社會," 1,276 ", 100.00 , 29.50 , 48.23 ,, 13.02 , 4.78 , 0.82 , 3.66 , 2.07 
科技," 1,216 ", 100.00 , 29.83 , 44.76 ,, 13.99 , 5.79 , 1.24 , 4.38 , 2.31 
 尋職前準備情形,,,,,,,,,,
 有準備," 2,204 ", 100.00 , 30.64 , 46.15 ,, 14.27 , 4.91 , 0.73 , 3.31 , 2.06 
 無準備," 1,830 ", 100.00 , 30.08 , 46.87 ,, 13.02 , 5.03 , 1.12 , 3.87 , 2.13 
註：1~3個月(含)係指超過1個月至3個月，3~6個月(含)為超過3個月以上至6個月者，餘類推。,,,,,,,,,,
說明：科系可複選，故細項加總大於專科以上之合計。,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
工作地區,,,,,,,,,,
