表13 青年勞工初次尋職,,,,,,,,遭遇到困難情形,,,,,,
 中華民國 ,,,,,,,, 103年 10月 ,,,,,, 單位：人，％ 
項目別,樣本數, 合計 , 有遇到困難，  ,,,,,遇到的困難為,,,,,,"沒有遇
到困難"
,,, 計 ,"求職管
道不足",求職面試技巧不足或不會寫履歷,"工作內容
要求不瞭解",,"不知道自己適合
做哪方面工作",技能不足,學歷不足,經歷不足,"適合的
職缺少",其他,
總計," 4,034 ", 100.00 , 54.19 , 6.83 , 14.37 , 11.56 ,, 30.10 , 17.19 , 7.05 , 30.63 , 12.24 , 0.43 , 45.81 
性別,,,,,,,,,,,,,,
男," 1,688 ", 100.00 , 52.22 , 7.23 , 13.22 , 11.58 ,, 26.83 , 19.34 , 8.43 , 29.11 , 11.92 , 0.21 , 47.78 
女," 2,346 ", 100.00 , 56.03 , 6.45 , 15.44 , 11.54 ,, 33.14 , 15.18 , 5.77 , 32.03 , 12.55 , 0.62 , 43.97 
年齡,,,,,,,,,,,,,,
15~19歲, 121 , 100.00 , 31.36 , 3.38 , 2.00 , 1.74 ,, 14.90 , 6.49 , 2.28 , 15.93 , 4.82 , - , 68.64 
20~24歲," 1,007 ", 100.00 , 53.34 , 7.48 , 13.72 , 10.86 ,, 34.18 , 17.80 , 7.02 , 28.67 , 10.70 , 0.15 , 46.66 
25~29歲," 2,906 ", 100.00 , 57.46 , 6.91 , 16.24 , 13.13 ,, 29.85 , 18.19 , 7.66 , 33.46 , 13.96 , 0.62 , 42.54 
教育程度,,,,,,,,,,,,,,
國中及以下, 129 , 100.00 , 38.99 , 6.33 , 3.31 , 6.41 ,, 17.06 , 13.11 , 16.27 , 18.87 , 3.65 , - , 61.01 
高中（職）, 941 , 100.00 , 46.15 , 6.25 , 7.84 , 5.83 ,, 25.35 , 13.54 , 11.88 , 24.41 , 9.98 , 0.39 , 53.85 
專科, 203 , 100.00 , 45.63 , 9.46 , 10.79 , 8.30 ,, 30.49 , 17.78 , 6.88 , 24.81 , 11.79 , 0.94 , 54.37 
大學," 2,448 ", 100.00 , 58.69 , 6.75 , 17.39 , 13.78 ,, 34.24 , 19.25 , 4.69 , 34.14 , 13.19 , 0.37 , 41.31 
碩士及以上, 313 , 100.00 , 65.47 , 7.98 , 25.01 , 21.24 ,, 25.09 , 17.44 , 1.37 , 38.50 , 18.98 , 0.84 , 34.53 
專科以上科系,,,,,,,,,,,,,,
人文, 502 , 100.00 , 57.73 , 8.51 , 14.62 , 10.84 ,, 32.80 , 17.28 , 2.92 , 34.13 , 15.38 , 0.62 , 42.27 
社會," 1,276 ", 100.00 , 59.49 , 6.58 , 17.64 , 15.16 ,, 36.82 , 16.80 , 4.36 , 35.12 , 15.63 , 0.40 , 40.51 
科技," 1,216 ", 100.00 , 57.91 , 7.54 , 19.38 , 14.87 ,, 29.11 , 21.41 , 5.18 , 32.74 , 11.78 , 0.46 , 42.09 
說明1：本問項可複選，故細項加總大於等於合計欄。,,,,,,,,,,,,,,
說明2：科系可複選，故細項加總大於專科以上之合計。,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
工作地區,,,,,,,,,,,,,,
